prompt	completion
You should specify the Length.
How long should the text be? Specify an approximate range for the number of characters or words. There are no clear rules about the proper length of content; so, you should be guided by the context, the topic and other similar articles that already exist.
Another important point is Uniqueness.
Generally, search engines want to show their users the original source. There are exceptions, but they will tend to rank websites that copy content from other sources less well and favour those that create original content. A good rule of thumb you might use is that quality copy should be at least 90% unique. In a project specifications document, you can specify certain tools that should be used to check the text’s uniqueness.

Having specified all the necessary requirements, define the Timeline or deadline.
This is an extremely important part of any project specifications document. Indicate the date when the contractor should deliver the finished task or the number of days the contractor has to perform the task. 

Don’t forget to include Additional materials in the project specifications document.
These can be links to sources of information on the subject that will be useful to the writer, a list of style guidelines, or similar articles that should be used as a reference.

A project specifications document for a copywriter almost always includes Keywords.
To create a text that will perform in search engines, it will need to contain relevant keywords. Beyond the keywords, providing a list of vocabulary that your audience naturally uses, that is relevant to the topic and helps clarify the context will help the writer immensely. The combination of keywords and relevant vocabulary is called a context cloud - JUST from seeing these words as a group, the copywriter should have a good idea what the topic and approach should be without needing to read your explanations.
Here’s an example.
Display a table on the screen:
Topic of the article 
"3 Reasons to Skydive"
Target audience
1) People aged 20-40 who want to try something new         
2) People looking for an original gift
Structure and outline
Make small chapters and in each chapter describe that skydiving: 
- gives new experiences; 
- raises confidence in one's abilities; 
- provides an opportunity to see nature from a bird's-eye view.
Uniqueness
90% and higher
Text volume
1500 words
Timeline
5 days
Additional sources
https://www.adventureinyou.com/travel-inspiration/7-reasons-why-you-should-go-skydiving-at-least-once-in-your-life/
https://www.skydivedanielson.com/why-do-people-skydive/ 
Example of an article (reference)
https://www.skydivecsc.com/blog/7-reasons-to-try-skydiving
Keywords
skydiving, where to skydive, original gift for a friend,
impressive gifts
Relevant vocabulary
instructor, certificate, airplane, parachute
jump
altitude
rip cord


Imagine that you promote a website selling unique experiences and extreme activities. To attract new users, they want you to write an article about skydiving in the context of an unusual gift. In the project specifications document, you will specify the topic of the article, the target audience, the structure of the article, and other requirements outlined  above. The link to the sample project specifications document file can be found in the description of the video.
That's it for this lesson. You learned the major points that should be included in a project specifications document for content specialists to ensure that they produce content for you that is high quality, on-topic and on time."
Explanation of Mobile optimization and responsive design in the Context of Search Engine Optimisation	"Why being mobile-friendly is important? 

The mobile experience on your website directly influences your business results and your website positions on Google.

First of all, if your website isn’t optimized for mobile, visitors may not find what they are looking for. They won’t place an order or call you. Instead, they’ll just leave your website and find what they’re looking for elsewhere. To avoid this, you should make their experience as smooth as possible.

Second, in 2019 Google introduced mobile-first indexing. That means that the search engine evaluates your website based on the mobile version of your website. And that means your need to look at the mobile version of your site, without forgetting the desktop version, of course! Be careful: you need to look after both! Having different content on the mobile and desktop versions of your site may harm your rankings in some circumstances. It is essential that you allow Google and other search engines to crawl the mobile version of your website. Whatever you do, don’t block the mobile version of your website from search engine crawlers - otherwise they may not index your pages correctly. In future lessons, we’ll elaborate on how you can control the crawling and indexing of your pages.

For the moment, I just want you to remember three main things. First, to rank high on Google, your website should have a responsive design that looks good on both desktop and mobile screens. Second, search engines should be able to crawl your website on any device and the content they find should be the same across the board. Third, your website should be well-organized and easy to navigate. If it’s not, neither users nor crawlers will ever see how good your content is.

The text is displayed on the screen:

Every second Google processes 40 000 search queries and 63% of them come from mobile devices



Let’s talk numbers. Just imagine, every second Google processes 40 000 search queries and 63% of them come from mobile devices. If your website doesn’t have a good mobile version, just imagine how many prospective customers you’re losing.

The chart is displayed on the screen:




The number of local search requests made from mobile increased 2 fold between 2014 and 2019.


Moreover, recent research has shown that the number of local search requests on mobile doubled over just 5 years. Over the same period, the number of searches on the desktop decreased by 6%. And that means webmasters should pay a LOT of attention to local SEO and mobile optimization.

The picture is displayed on the screen:





Just browse your website on a mobile phone. If you see that the text is too small to read, or images don’t fit on the screen, or design elements overlap, it means you badly need to optimize your website for mobile… and the sooner the better!
Responsive design

First of all, I want to emphasize that Google recommends using a responsive design instead of creating a separate mobile version of your website. Opting for a responsive design means you’ll have one website with pages that automatically adjust to different screens. Simpler for you, clearer for Google.

The animated picture is displayed on the screen:

First, the picture shows two websites with the following URLs: www.example.com and m.example.com then the second one disappears and www.example.com remains.




For example, instead of building and maintaining two separate websites www.example.com and m.example.com, you’ll have only one www.example.com serving both desktop and mobile users.

Now, let us remind ourselves that users who open your website have a particular goal. They may want to order pizza or find your phone number. When optimizing your website for mobile, strive to make that goal easy to achieve.

The main rule is that your mobile visitors should see all the important information fast and need as few clicks as possible to get what they are looking for.

And if you make it easy on mobile, it’s likely to be even easier on desktop!
Check if your website is mobile-friendly

So how do you know what a visitor sees when browsing your website on a mobile device? You can simply use Google’s Mobile optimization checker to see. 

The screen record is displayed on the screen:





You’ll need to open the tool and enter your web page address in the field. Then, click the Test The URL button.



In this example, the page has passed the test successfully: it looks good on mobile, all page elements fit in the mobile screen, and the text is readable.

You can also check out your website right in Google Search Console. There’s a dedicated report that shows whether your website works well on mobile. If anything goes wrong, the issues will appear in this report automatically and Google will include some suggestions for improvements. But let’s take each step as it comes: We’ll talk more about Search Console Reports in a later module of our course."
Explanation of SEO Reporting in the Context of Search Engine Optimisation	"Optimizing a website takes a lot of time, effort, and patience, and when it comes to presenting the achieved results, it’s vital to make your report simple, yet comprehensive and detailed. A tough combination to get right, but I know we’ll manage.

Right. Off we go!

What is an SEO report?
A report is an indispensable tool for any SEO specialist when it comes to communicating success to customers or managers. In fact, an insightful SEO report can be beneficial to practically everyone involved in a project, from marketers and webmasters to product managers and business owners…. and you! 

It gives you a chance to look back, analyze the data and see the big picture. Based on the insights provided by the report, it's relatively simple to understand the reasons for the project’s ups and downs, see how best to adjust strategy and find new untapped opportunities.

A great SEO report can help you with all these things. So, let’s look at how you can create a great SEO report. 
How to quickly generate an SEO report?
The most time-efficient way of creating a report is to make use of specialized SEO tools. If you use SEO software to handle all your projects, ideally it will be able to generate a detailed report for you in just a few clicks.
Dedicated, specialised tools can save you hours of routine work. Here I’m going to walk you through SE Ranking’s Report Builder as an example. 
There will be a screen record of the SE Ranking’s Report Builder, and we’ll be demonstrating every point mentioned by the speaker:
All you need to start building a report with SE Ranking is to launch the Report Builder, hit the Generate a Report button, and choose the project you’re interested in.
Next, you need to set the date range and decide which data to include in your report — I’ll tell you which sections I recommend adding to the report in just a minute. Now, the SE Ranking Report Builder offers eight templates for you to choose from, and you can also build a custom report that contains only the sections you choose. You’ll be able to include all the key data to the report, from website rankings to Google Analytics data and competitors’ visibility. 
You can swap the blocks, delete sections that you don’t need from the templates, and add extra charts and graphs. And you can choose a custom design for the cover page.
The screen record ends, the speaker is shown on the screen:
Once the report is ready, you can save it to the platform, download it as a PDF document or send it by email — to yourself, your client or maybe your manager. In the video description, you’ll find a sample report generated using SE Ranking’s Report Builder.
To spend even less time on reporting in the future, you can save your templates and set up scheduled reports that will be generated and sent automatically to a list of email addresses you provide. 
And, of course, SE Ranking makes it easy to track your progress — all your reporting history is easily available in the tool, so you can analyze how your results have changed over time. This is yet another reason to regularly create comprehensive reports. It gives you a chance to look back and see how your past actions impacted the project’s SEO. 
Which data an SEO report should have?

Now that we’ve figured out how SE Ranking can help you quickly generate a report, let’s discuss in detail which data you need to add to an SEO report.

I recommend you start with a dashboard with the website’s key metrics. The exact metrics may vary depending on your goals, but as a rule, a “key metrics” dashboard should include information on traffic and conversion. This immediately gives an overview of how many people visited the site thanks to your SEO efforts and how many of these visits ended with a goal completion or target action. a “key metrics” dashboard will also normally include information about search engine rankings, technical health, and backlinks. 


Then each block of metrics should be presented in more detail on dedicated pages. 

Let’s discuss which data you need to include in your SEO report and why.  

I advise you to add data on website traffic as the first thing after the dashboard. You need to show how many visitors landed on your site from organic search and how your current metrics compare to historical data. 


Screen record shows a user adding the Traffic block to the report in SE Ranking’s Report Builder. In the block settings, the user chooses the Organic traffic section and shows that there are two options for comparison periods — previous period and previous year. Then, the user chooses the Previous period option and hits the Save button. 
Voiceover

The SE Ranking Report Builder allows you to add data on a website’s organic traffic in just a few clicks. You can compare current data to the previous month or the previous year to evaluate your long-term progress.
In addition to general traffic data, you absolutely need to show analytics for separate website pages. 


Put the image on the screen


Voiceover
For example, you can add the five best-performing and five worst-performing pages to the report and add a note that you’re planning to work on the latter in the next months. On top of that, you can single out pages that have shown the best results over the past month. Or perhaps the pages that offer the best opportunities for the next SEO “push”.

The next block will include information on website rankings — my advice is to select five to twenty target keywords for every website page you’re working on. This section of the report will show which rankings bring what amounts of traffic to the website. 


Put the image on the screen

Voiceover
Just like traffic, ranking data should be presented as a comparison. You can compare your current rankings to the rankings you had when the rankings were first checked — which means compare now to the date when you started working on a project. Also, you can add a table with a brief ranking history to your report.

You can also compare your rankings to the rankings of your direct competitors — that will show how your results measure against other players in the niche. 
Put the image on the screen



The next thing you can show is what has been done to strengthen your website’s backlink profile. You can add data on how many backlinks you’ve managed to gain in a month, or since the start of the project, and perhaps indicate which pages are gaining the most links, and which anchor texts were used. 


Put the image on the screen

Voiceover
Use graphs to show the data in an easy-to-read format. Once again, because the results of your link building efforts can be slow, it’s better not to limit yourself to the data for the past month, but to analyze a longer period — for example, from the start of the project or the three past months — which will show a meaningful trend. It’s also important to check whether your older backlinks are still there and include this data in the report. 
Put the image on the screen


Voiceover
In addition to graphs, I recommend you add detailed information on every important backlink to the report. This helps stakeholders to understand the dynamics. SE Ranking’s Backlink Monitoring tool allows you to track a link’s status — whether it is still active or if it was removed from the page — along with other key parameters such as indexation status of the linking page, the domain authority of the website, and the anchor text of every link. These metrics allow you to evaluate the quality of each backlink and should demonstrate that your website has a healthy backlink profile that boosts your SEO. 

If you’ve spent some time optimizing technical issues on a website, this should definitely be a part of your SEO report. 


Put the image on the screen


Voiceover
As you saw in the technical SEO module, indexation issues, broken links, improper redirects, a low Core Web Vitals score, and other technical problems can hold a site back in Google’s ranking. With the help of SE Ranking’s Website Audit, you can identify any issues and then add charts and tables to the report to point to weaknesses but also to highlight the work that you’ve done.   
At the end of the report, you can add a section that will show how users interact with the pages on your website. If you spend a lot of time and effort on creating quality content, you need to make sure users like it. 
Put the image on the screen

Voiceover
Pay attention to how much time users spend on a page, whether they follow the links on your site or click any buttons. If your behavioral metrics are disappointing, add comments to the section and share your plans on improving the stats — for example, if you want to improve content quality or the UX. 



6) One behavioral metric that really deserves a dedicated section is conversions. SEO traffic that you generate should bring profit to the business, which is only possible when users perform target actions on your site. Target actions may vary. Buying a product or a service, starting a free trial, clicking a partner link, or signing up for a promotion can all be target actions. They can all be tracked with the help of Google Analytics — you just need to set up goals for every type of action that’s important to you. 

Put the image on the screen

Voiceover
Your report may feature data on the number of completed goals — this could be the number of users who made a purchase or followed a partner link. Also, you can include data on the goal conversion rate such as the percentage of website visitors who performed the target action. 


In addition to the sections on the results you’ve achieved, you can also add a block with your plans on further website optimization. Set out for yourself, your client or your boss what you intend to do in the next month or couple of months, and what results you hope to get. An important note here is that your plans should be based on the data in the current report. For example, if some of the pages have experienced a traffic drop, indicate how you intend to analyze the situation and perhaps also the changes you will be implementing.  

The best part about the Plans section is that it can be used as a reference for your future SEO reports - show that you do what you say you’ll do, and what you do WORKS.

And then, right at the end, the summary — a comprehensive report should definitely have a short summary! Graphs, charts, and tables can sometimes be understood at a glance and require no further explanation... but sometimes you need to provide more details. It’s better to add specific, focussed comments to every section and then summarize in the final section of the report. Here you can single out the most important data, briefly describe the major problems, highlight the best opportunities and comment on the key business metrics. 

Of course, the scenario in this video is not the only possible option, it’s just a suggestion. I would imagine in most cases, you’ll have most of the sections I covered in this lesson on your report, but you can remove some, add others, swap the order, and shift the focus to the data that is the most important for you by adding extra details or leaving out data points that aren’t relevant. 

I suggest that you simply use this lesson as a reference to develop your own SEO report template that fits the needs of your specific project. 
And, as I mentioned right at the start, make sure you include the information that will help you to understand the effect of the SEO techniques you are implementing."
Reviews of Jason Barnard's book, The Fundamentals of Brand SERPs for Business	"John Mueller, Webmaster Trends Analyst at Google, Via Twitter
  Jason Barnard explains in his book The Fundamentals of Brand SERPs for Business that business owners and brand managers often miss the opportunity to control their whole branded search engines results page. These days the strategy should not simply be getting indexed in search engines... the strategy should be to maximise visibility and to have your marketing message, your text, your images, your people, your products surfacing everywhere in page one of search results. Chapter after chapter, Jason explains the benefits and the strategy to follow to get there. Indeed, a great Brand SERP is great for your bottom line.
Fabric Canel, Principal Program Manager - BING

   
     Jason Barnard’s The Fundamentals of Brand SERPs for Business will set you on the path to leveraging what is at everyone’s fingertips in the online world... information about your brand.
Ted Rubin, Communications Transformation Strategist
There is no one more knowledgeable and authoritative in the subject of Google Knowledge Panels than Jason. His book demonstrates how important your brand is in Google search and how to ensure your brand in Google is represented in a manner your desire.
Jason is the Google Brand Guy, if he can only help me rank above Professor Barry Schwartz—I’d be even more grateful than I already am for his wisdom and generosity with the search industry.
Barry Schwartz, SEO Janitor (SEO editor at Search Engine Land and Search Engine Roundtable and President of RustyBrick, Inc.)
Jason lays out an easy-to-understand explanation of what Brand SERPs are, why they matter to your business (and believe me, they do!), and how to easily improve yours. I have worked directly with Jason and his level of practical knowledge on this topic is unbelievable. In just a few weeks, his insights helped me vastly improve what my audience
   iv
The Fundamentals of Brand SERPs for Business

 sees when they Google my name. And now, this book is enabling me to do the same for my business: make my company look professional and convincing to my audience.
Scott Duffy, Top 10 Speaker: Entrepreneur.com
A big part of branding is based on the information people can find online about you and your business. That’s why it is crucial to feed Google with accurate information. Jason’s book, The Fundamentals of Brand SERPs for Business, is a simple and powerful guide for those of us who are not SEO-savvy to create a more realistic, less technical, and marketing-focused approach to SEO.
Ryan Foland, Speaker, Author, and Brand Consultant
How you appear in online search results is who you are... period. No one understands how to influence branded search results better than Jason Barnard. In his eye-opening new book, The Fundamentals of Brand SERPs for Business, Jason reveals what drives online reputation results and shows readers how to stay ahead of the algorithms to positively influence how you show up to search engine users.
David Avrin Strategic Brand Development Consultant and Author

     
     Jason has been very important in shaping our thinking at Yoast about Brand SERPs. This book is a great primer for those starting with optimizing their entities and brand result pages. This is probably one of the most important aspects of SEO these days, so why are you reading this and not the book itself yet?
Joost de Valk, Founder & Chief Product Officer at Yoast"
Explanation of Why You Should Optimise the Google Search Result for your Brand Name in the Context of Search Engine Optimisation	"It’s second nature these days to pull out your phone and search for a coffee shop when you need your next caffeine fix. Or, to type an address into Google to find directions. We don’t even print out maps anymore because Google is at our fingertips, waiting to provide us with the best route and live traffic updates. As users, we take Google for granted, expecting it to always be there with answers. Google is a response delivery service and it wants to provide its user, you, with the best answers. So, how does this impact business owners?
Because Google is your new business card.
Google provides the results people see when looking up your business. Whether it’s an existing client or a prospect who wants
     

     to learn more before taking the leap, Google is the go-to step in a person’s journey to finding your company. As such, Google’s representation of your brand is one of the most important brand messages they will see. Like it or not, the Google search result for your brand name is your “digital business card,” so it needs to be positive, accurate, and convincing for your audience. And to achieve this, you need to be proactive and take control. It might seem daunting, but the process is accessible for the average person, particularly when you employ a few simple “tricks” to get the job done.
While most business owners understand the importance of their online image, many still balk at the sheer scale of the web, complexity of the task, and seemingly indecipherable technical concepts involved. This book may cover many concepts and terms you don’t know (yet), and to help make understanding the content easier, I’ve included a glossary, footnotes, and other reference materials to guide you. Managing your “Google business card” doesn’t have to be intimidating or complicated, and the benefits really do pay off big time.
An improved Brand SERP, the technical term for your digital business card, naturally leads to a significant increase in the control you wield over your wider online image. The whole process is easily manageable once you know the basic tactics, understand the crucial steps, and recognise the many acronyms associated with them. SERP is one such acronym.
SERP, or the Search Engine Results Page, is the web page you see after you enter a query into a search engine. When a user searches for a brand name, the search engine (Google, Bing, Yahoo, DuckDuckGo, etc.) shows them a Brand SERP, or the brand’s Search Engine Results Page. Online brand images



 function similarly for individuals and businesses. For the purpose of this book, we’ll be looking at Google’s Brand SERP of your business.
The Brand SERP is a simple concept. But, like many topics with a clear premise, the devil is in the details and they add up to massive insights into your business, your digital strategy, and your audience. By addressing these small details, you’ll build an improved business brand with a solid online strategy to better serve your audience. The key is to give due attention to each of these details, while also viewing them as effective pieces that improve the sum of the parts.
What is Google’s “Raison d’Être”?1
Google’s function is to provide solutions to user problems—it tries to provide the best information available online to fulfill a user’s needs.
There are three types of searches we all perform:
1. Informational
2. Navigational
3. Commercial (transactional)
For each of these, Google builds its SERP to try to best serve the intent of the user. Informational and navigational searches are the central two searches for your clients and prospects.2 When someone is seeking more information about your business, they will search your brand name with an informational intent to learn about who you are, what you offer, and if you are trustworthy.
1 Raison d’être: (lit.) reason for being/existing. In context, what’s Google’s primary purpose?
2 If you are interested in the broader picture of different search intentions, read this additional resource from my friends at Yoast: https://yoast.com/search-intent/
   
     For a navigational search, the user already knows and is comfortable with your brand name, and they are looking to find your site. A navigational search occurs most often with well-known brands, such as Facebook. Even if you don’t have a Facebook account, you know what it is and you know what the site offers. By searching for Facebook, you are only looking to navigate to the site.
Brand searches on lesser-known companies, such as my business Kalicube, are more often informational in nature because the brand and services aren’t widely known. Google understands these different types of intents and knows which is most appropriate for your audience, so it builds your Brand SERP accordingly.
Google designs your Brand SERP to help users navigate to your site, find information about your brand, and access resources provided by your brand.
The entire internet strategy for your business stems directly from this one elementary statement. By understanding your Brand SERP and actively working to make it useful and valuable to your audience, you’ll be building an incredibly solid, relevant, and effective digital strategy. However, very few business owners know how to get started, which puts them at a massive disadvantage. Google is the most comprehensible and helpful tool you have at your disposal to improve your business’ brand. And ironically, it’s free.
Google is by far the dominant search engine on the internet. It holds 86% of the global market share and handles approximately 3.8 million searches a minute, which amounts to roughly 5.6


 This leaves other search engines, such as Bing and Yahoo, with a significant 14% of the global market share. To give you an idea of the vast scale of search engines, Bing serves search results to over a billion people every month (Clement). Since Google completes 5 times as many searches in just a day, the focus here will be on Brand SERP optimisation for Google. But remember, everything you do to improve your Brand SERP on Google will also help improve your Brand SERPs on Bing, Yahoo, and other search engines.
Internet searches are Google’s game, so Google sets the rules. Though, contrary to popular belief, if you take a proactive Brand SERP approach, you can lead the game by educating Google. It aims to understand who you are and what you offer, and it wants to learn about your business from you. Google may not be human, but it is an incredibly sophisticated network of algorithms and is capable of learning.
Google is essentially a child trying to understand your brand message so it can accurately and fairly represent your brand to your audience. It’s your job to educate Google using online content associated with your brand. Every time you add or change content on the web, Google reads and digests the information, and it learns more about who you are and what your brand is. This is where you lay out the ground rules and control your Brand SERP. If you provide a consistent message across all digital platforms, over time, Google will gain a better understanding of your brand and provide more accurate, relevant, and helpful information about you to its users.
With so much at stake, you cannot ignore Google’s SERP for your brand. Many users looking for information about your business won’t look beyond the SERP itself. Users are looking for


     convenience, and Google packages up a summary of what it knows about your brand and provides this information on your Brand SERP. Since Google is essentially a reflection of the world’s opinion of your brand, you need to ensure your brand is represented correctly.
When you search “Jason Barnard,” you’re met with this:
Google recognises me as the leading expert on Brand SERPs or “The Brand SERP Guy,” and it presents the photos I want it to show. But these results are not just good luck. I studied the search engine and established how to educate Google so it correctly understands me and my personal brand, and represents the brand message I define. I didn’t start with a big dream of demystifying Google.



 Software as a Service (SaaS) platform, Kalicube Pro. Kalicube Pro is the semi-automated, data-driven, pragmatic approach to Brand SERPs.
Kalicube Pro started as a set of tools I created to help me help my clients. It has now grown to become the go-to platform in the world for agencies looking to improve Brand SERPs for their clients, and an industry insights dataset containing 70,000 brands, over 10 million Brand SERPs, and a total of 200 million data points (“Kalicube Pro”).4 Kalicube Pro analyses a snapshot of your Brand SERP and uses a set of proprietary algorithms to establish where the underlying issues are, what needs to be improved, and which strategies will be effective.
Kalicube Pro is imagination applied to data; it combines pragmatism with creativity to gain insights into your Brand SERP, and provides strategies to leverage maximum benefit for your business.
Alongside the platform, I realized some clients needed a more in-depth understanding of the strategies and the reasoning behind them, so I recorded a series of video courses in 2019. In these videos, I walk the audience through the steps of managing their Brand SERP.
In all, I provide three levels of instruction:
1. This book covers the fundamental theory behind Brand SERPs.
2. The Brand SERP courses explore the pragmatic approach for invested business owners.
4 Figures collected from https://kalicube.pro, December 2021.
   


     3. Kalicube Pro provides a data-driven bespoke tasklist to enable brand owners to take their Brand SERPs to the next level.
As you can see, the resources I offer have grown as my understanding of Brand SERPs has deepened and expanded.5 All of these resources have one common theme: if you don’t proactively feed it information about yourself, Google will make up its own mind based on the fragmented, often inaccurate information that it pieces together from around the web. This hodgepodge conclusion could show your audience an unrepresentative reflection of your brand based on what Google thinks is true. When it comes to business, you don’t want to leave your brand’s message to chance, so you need to proactively manage your Brand SERP with clear intent and determination. You need to educate Google.
By controlling your Brand SERP, you own the narrative of your brand and keep your potential clients focused on an accurate and convincing depiction of you.
Brand SERPs are the inescapable reality of our digital world. They provide the first, virtual face-to-face impression for your potential clients, and first impressions can be hard to overturn. By controlling your Brand SERP, you own the narrative of your brand and keep your potential clients focused on an accurate and


 convincing depiction of you. For prospective clients, a good Brand SERP means a shorter path to conversion, higher conversion rates, and better client retention. For existing clients, it means better client engagement, easier upsells, and fewer clients leaving you for the competition.
My mantra on Brand SERPs is straightforward and no-fluff, much like the process itself:
A good Brand SERP is good for your bottom line. A great Brand SERP is great for your bottom line.
Your brand is your biggest asset in business, so you need your Brand SERP to represent it accurately. But more than that, your brand is an entity. When it creates your Brand SERP, Google
     


     looks at your brand entity, not at your website. Your website is informative, but it’s just one representation of your brand. Google is trying to understand the brand itself and determine the overall brand message portrayed online.
Business owners often see Google as an intimidating, complex force that’s in control of their online business success. But this is your Brand SERP, your brand message, and you are the one in control.
There are many tactics at your disposal to take control of your Brand SERP, the most effective being:
• Optimising
- Your Homepage
- Rich Sitelinks
- Google Ads
• Improving
- Other Search Results (ones you control and those you don’t)
- Your Social Media Accounts
• Employing
- Simple SEO Tactics • Avoiding
- Cutting Corners with Cheats


 Your starting line is the current impression your Brand SERP projects to your audience when they Google your business. Take a look at your Brand SERP now and ask yourself:
• What do I see?
- An inaccurate message? A lack of compelling language?
• What did I expect to see?
- More relevant results?
- Your Twitter page, third-party corroboration, positive reviews, etc.
• What do I want to see?
- Your brand dominating the search? Results that
convince users to choose your brand?
- Impressive third-party articles, 5-star reviews, social media platforms, etc.
Once you see the gaps and flaws, you can start to correct Google’s understanding of your brand and “design” your Google business card, ensuring it positively reflects you and convinces your audience to do business. Your Google business card displays the world’s opinion of you to your audience searching for your brand, so you need it to be as polished and convincing as your CV when applying for a job. The “job” here is landing the customer, and your Google business card is the CV they see.


     Since your Brand SERP is a reflection of the world’s opinion of your brand, it’s essentially an executive summary of your digital ecosystem. Your digital ecosystem consists of your site, your social media presence, the content you create and distribute, public feedback from your audience (including social media and customer reviews), and any third-party statements about your brand. Understanding the digital ecosystem of your brand starts with the Brand SERP, and you can easily
build a solid ecosystem outwards
from there. As you work through
your digital ecosystem, you’ll
see your strengths, correct your
weaknesses, plug the holes,
improve your reputation, refine
your brand message, and own
your narrative.
In the ensuing chapters, this book covers the “why, what, and how” of every major aspect of Brand SERP optimisation. So please, read on."
Explanation of Why Jason Barnard Started Working on Brand SERPs	"Curiosity drove my research and led me to a deep understanding of how Google builds the Brand SERP and how it evaluates brand credibility.
A little background history: I graduated with a degree in economics and a minor in statistical analysis from Liverpool John Moores University. Then, I launched my first site in 1998, which is the same year Google was incorporated. Google and I kind of grew up together—not that Google has noticed!
I’ve been optimising content to perform well on Google since almost the very beginning of search engines on the internet. My first website was UpToTen, which offered educational games and activities featuring the cartoon characters, Boowa and Kwala. By 2007, the site was welcoming 5 million visits a month—a stunning 60 million total for the year 2007. 20% of these were organic visitors from Google searches. I realised I was able to dominate the SERP for generic queries like “kids games,” “K-12 activities,” and many more.
But I noticed there was a piece missing and business owners, myself included, were only doing half of the job. I had established a following for UpToTen, but when users searched the names to learn more, the results were not what I expected nor what I wanted. Google was getting my Brand SERP wrong.
So, I decided to figure out how to change the results being shown and help Google get things right. I Googled my name and was met with results on approximately 250 Jason Barnards from around the world: myself, a footballer, a dentist, a podcaster, a hockey player, a university professor, some other digital marketers, and still more. I realized I could use my skill set of dominating the Google search results for generic terms to intentionally control the results for my own (brand) name.
  


     I had completed the hard part of using SEO to build a following for my site, but like most companies out there, I hadn’t stopped to consider what users see when they search for the brand. If you’ve successfully captured the user’s attention, your follow-through has to convince the user to continue. This involves the intentional optimisation of your Brand SERP.
I started with a “silly trick.” One of the results was about my work in the 1990s as a musician. I played with the punk folk rock group, The Barking Dogs, and we did cover versions of several songs. One such cover was “Ace of Spades” by Motörhead. I provided this information to Google using some SEO techniques (see Chapter Six for SEO tactics) and Google “picked up” the information about me playing bass for our cover ... and presented me as a musician in the original band! I’d added content of me playing the song and Google deduced that I was the bassist for Motörhead.



 This was a comical test, but it does reveal an important point about Google—once Google accepts you as a trusted authority on you and your brand, you can “feed” it information with relevant content.
Here are some examples of how I have educated Google about myself:


        After my initial experiments, I realised brand owners can and should be educating Google about their businesses and brands. Brand SERPs in particular needed to be explored more for maximum business optimisation. My goals going forward were to:
• Make all references to me positive, accurate, and convincing
• Dominate the page results to “own” my SERP
• Prompt Google to show Rich Elements on my SERP3
As I began to master this process, I gained clients who saw my work and wanted to make changes to their own results. They saw the value of owning the brand narrative on their Brand SERP as I have successfully done. Working as a freelancer, I helped many brands over the next eight years. In 2015, as my client base grew, I professionalised my operations by founding Kalicube, honed my “trade” of Brand SERP optimisation, and in 2021, launched a
3 SERPs feature Rich Elements, such as a Knowledge Panel, Twitter Boxes, Image Boxes, Video Boxes, etc."
